name,url,rss,index
Advances in Neuroimmune Biology,http://www.iospress.nl/journal/advances-in-neuroimmune-biology/,idk,http://iospress.metapress.com/content/1878-948X/
AI Communications,http://www.iospress.nl/journal/ai-communications/,idk,http://iospress.metapress.com/content/0921-7126/
Algorithmic Finance,http://www.iospress.nl/journal/algorithmic-finance/,idk,http://iospress.metapress.com/content/2158-5571/
Analytical Cellular Pathology,http://www.iospress.nl/journal/analytical-cellular-pathology/,idk,http://iospress.metapress.com/content/2210-7177/
Annals of Plant Protection Sciences,http://www.iospress.nl/journal/annals-of-plant-protection-sciences/,idk,http://www.indianjournals.com/ijor.aspx?target=ijor:apps&type=home
Applied Bionics and Biomechanics,http://www.iospress.nl/journal/applied-bionics-and-biomechanics/,idk,http://iospress.metapress.com/content/1176-2322/
Applied Ontology,http://www.iospress.nl/journal/applied-ontology/,idk,http://iospress.metapress.com/content/1570-5838/
Asian Biomedicine,http://www.iospress.nl/journal/asian-biomedicine/,idk,http://www.asianbiomed.org
"Asian Journal of Water, Environment and Pollution",http://www.iospress.nl/journal/asian-journal-of-water-environment-and-pollution/,idk,http://iospress.metapress.com/content/0972-9860/
Asymptotic Analysis,http://www.iospress.nl/journal/asymptotic-analysis/,idk,http://iospress.metapress.com/content/0921-7134/
Behavioural Neurology,http://www.iospress.nl/journal/behavioural-neurology/,idk,http://iospress.metapress.com/content/0953-4180/
Bio-Medical Materials and Engineering,http://www.iospress.nl/journal/bio-medical-materials-and-engineering/,idk,http://iospress.metapress.com/content/0959-2989/
Biorheology,http://www.iospress.nl/journal/biorheology/,idk,http://iospress.metapress.com/content/0006-355x/
Breast Disease,http://www.iospress.nl/journal/breast-disease/,idk,http://iospress.metapress.com/content/0888-6008/
Bridge Structures,http://www.iospress.nl/journal/bridge-structures/,idk,http://iospress.metapress.com/content/1573-2487/
Cancer Biomarkers,http://www.iospress.nl/journal/cancer-biomarkers/,idk,http://iospress.metapress.com/content/1574-0153/
Clay Research,http://www.iospress.nl/journal/clay-research/,idk,http://www.indianjournals.com/ijor.aspx?target=ijor:cr&type=home
Climate Law,http://www.iospress.nl/journal/climate-law/,idk,http://iospress.metapress.com/content/1878-6553/
Clinical Hemorheology and Microcirculation,http://www.iospress.nl/journal/clinical-hemorheology-and-microcirculation/,idk,http://iospress.metapress.com/content/1386-0291/
Computability,http://www.iospress.nl/journal/computability/,idk,http://www.computability.de/journal/
Disease Markers,http://www.iospress.nl/journal/disease-markers/,idk,http://iospress.metapress.com/content/0278-0240/
Education for Information,http://www.iospress.nl/journal/education-for-information/,idk,http://iospress.metapress.com/content/0167-8329/
Environmental Policy and Law,http://www.iospress.nl/journal/environmental-policy-and-law/,idk,http://iospress.metapress.com/content/0378-777X/
Fundamenta Informaticae,http://www.iospress.nl/journal/fundamenta-informaticae/,idk,http://iospress.metapress.com/content/0169-2968/
Human Antibodies,http://www.iospress.nl/journal/human-antibodies/,idk,http://iospress.metapress.com/content/1093-2607/
Human Systems Management,http://www.iospress.nl/journal/human-systems-management/,idk,http://iospress.metapress.com/content/0167-2533/
In Silico Biology,http://www.iospress.nl/journal/in-silico-biology/,idk,http://iospress.metapress.com/content/1386-6338/
Indian Journal of Agronomy,http://www.iospress.nl/journal/indian-journal-of-agronomy/,idk,http://www.indianjournals.com/ijor.aspx?target=ijor:ija&type=home
Indian Journal of Horticulture,http://www.iospress.nl/journal/indian-journal-of-horticulture/,idk,http://www.indianjournals.com/ijor.aspx?target=ijor:ijh&type=home
Indian Journal of Nematology,http://www.iospress.nl/journal/indian-journal-of-nematology/,idk,http://www.indianjournals.com/ijor.aspx?target=ijor:ijn&type=home
Indian Journal of Plant Physiology,http://www.iospress.nl/journal/indian-journal-of-plant-physiology/,idk,http://indianjournals.com/ijor.aspx?target=ijor:ijpp&type=home
Informatica,http://www.iospress.nl/journal/informatica/,idk,http://iospress.metapress.com/content/0868-4952/
INFORMATION KNOWLEDGE SYSTEMS Management,http://www.iospress.nl/journal/information-knowledge-systems-management/,idk,http://iospress.metapress.com/content/1389-1995/
Information Polity,http://www.iospress.nl/journal/information-polity/,idk,http://iospress.metapress.com/content/1570-1255/
Information Services & Use,http://www.iospress.nl/journal/information-services-use/,idk,http://iospress.metapress.com/content/0167-5265/
Integrated Computer-Aided Engineering,http://www.iospress.nl/journal/integrated-computer-aided-engineering/,idk,http://iospress.metapress.com/content/1069-2509/
Intelligent Data Analysis,http://www.iospress.nl/journal/intelligent-data-analysis/,idk,http://iospress.metapress.com/content/1088-467X/
Intelligent Decision Technologies,http://www.iospress.nl/journal/intelligent-decision-technologies/,idk,http://iospress.metapress.com/content/1872-4981/
Intelligenza Artificiale,http://www.iospress.nl/journal/intelligenza-artificiale/,idk,http://iospress.metapress.com/content/1724-8035/
International Journal of Applied Electromagnetics and Mechanics,http://www.iospress.nl/journal/international-journal-of-applied-electromagnetics-and-mechanics/,idk,http://iospress.metapress.com/content/1383-5416/
International Journal of Artificial Intelligence in Education,http://www.iospress.nl/journal/international-journal-of-artificial-intelligence-in-education/,idk,http://iospress.metapress.com/content/1560-4292/
International Journal of Developmental Science,http://www.iospress.nl/journal/international-journal-of-developmental-science/,idk,http://iospress.metapress.com/content/2192-001X/
International Journal of Hybrid Intelligent Systems,http://www.iospress.nl/journal/international-journal-of-hybrid-intelligent-systems/,idk,http://iospress.metapress.com/content/1448-5869/
International Journal of Knowledge-Based and Intelligent Engineering Systems,http://www.iospress.nl/journal/international-journal-of-knowledge-based-and-intelligent-engineering-systems/,idk,http://iospress.metapress.com/content/1327-2314/
International Journal of Regulation and Governance,http://www.iospress.nl/journal/international-journal-of-regulation-and-governance/,idk,http://bookstore.teriin.org/journal_inside.php?material_id=252
International Journal of RF Technologies: Research and Applications,http://www.iospress.nl/journal/international-journal-of-rf-technologies-research-and-applications/,idk,http://iospress.metapress.com/content/1754-5730/
International Shipbuilding Progress,http://www.iospress.nl/journal/international-shipbuilding-progress/,idk,http://iospress.metapress.com/content/0020-868x/
Isokinetics and Exercise Science,http://www.iospress.nl/journal/isokinetics-and-exercise-science/,idk,http://iospress.metapress.com/content/0959-3020/
Journal of Aerospace Operations,http://www.iospress.nl/journal/journal-of-aerospace-operations/,idk,http://iospress.metapress.com/content/2211-002X/
Journal of Alzheimer’s Disease,http://www.iospress.nl/journal/journal-of-alzheimers-disease/,idk,http://iospress.metapress.com/content/1387-2877/
Journal of Ambient Intelligence and Smart Environments,http://www.iospress.nl/journal/journal-of-ambient-intelligence-and-smart-environments/,idk,http://iospress.metapress.com/content/1876-1364/
Journal of Back and Musculoskeletal Rehabilitation,http://www.iospress.nl/journal/journal-of-back-and-musculoskeletal-rehabilitation/,idk,http://iospress.metapress.com/content/1053-8127/
Journal of Berry Research,http://www.iospress.nl/journal/journal-of-berry-research/,idk,http://iospress.metapress.com/content/1878-5093/
Journal of Computational Methods in Sciences and Engineering,http://www.iospress.nl/journal/journal-of-computational-methods-in-sciences-and-engineering/,idk,http://iospress.metapress.com/content/1472-7978/
Journal of Computer Security,http://www.iospress.nl/journal/journal-of-computer-security/,idk,http://iospress.metapress.com/content/0926-227X/
Journal of Discrete Mathematical Sciences and Cryptography,http://www.iospress.nl/journal/journal-of-discrete-mathematical-sciences-and-cryptography/,idk,http://www.connectjournals.com/jdmsc
Journal of Dynamical Systems and Geometric Theories,http://www.iospress.nl/journal/journal-of-dynamical-systems-and-geometric-theories/,idk,http://www.connectjournals.com/jdsgt
Journal of E-Governance,http://www.iospress.nl/journal/journal-of-e-governance/,idk,http://iospress.metapress.com/content/1878-7673/
Journal of Economic and Social Measurement,http://www.iospress.nl/journal/journal-of-economic-and-social-measurement/,idk,http://iospress.metapress.com/content/0747-9662/
Journal of Ecophysiology and Occupational Health,http://www.iospress.nl/journal/journal-of-ecophysiology-and-occupational-health/,idk,http://www.indianjournals.com/ijor.aspx?target=ijor:jeoh&type=home
Journal of Embedded Computing,http://www.iospress.nl/journal/journal-of-embedded-computing/,idk,http://iospress.metapress.com/content/1740-4460/
Journal of Entomological Research,http://www.iospress.nl/journal/journal-of-entomological-research/,idk,http://www.indianjournals.com/ijor.aspx?target=ijor:jer&type=home
Journal of High Speed Networks,http://www.iospress.nl/journal/journal-of-high-speed-networks/,idk,http://iospress.metapress.com/content/0926-6801/
Journal of Huntington’s Disease,http://www.iospress.nl/journal/journal-of-huntingtons-disease/,idk,http://www.iospress.nl/subject/neurosciences
Journal of Immunology and Immunopathology,http://www.iospress.nl/journal/journal-of-immunology-and-immunopathology/,idk,http://www.indianjournals.com/ijor.aspx?target=ijor:jii&type=home
Journal of Information & Optimization Sciences,http://www.iospress.nl/journal/journal-of-information-optimization-sciences/,idk,http://www.connectjournals.com/jios
Journal of Integrated Design & Process Science,http://www.iospress.nl/journal/journal-of-integrated-design-process-science/,idk,http://iospress.metapress.com/content/1092-0617/
Journal of Intelligent & Fuzzy Systems,http://www.iospress.nl/journal/journal-of-intelligent-fuzzy-systems/,idk,http://iospress.metapress.com/content/1064-1246/
Journal of Interdisciplinary Mathematics,http://www.iospress.nl/journal/journal-of-interdisciplinary-mathematics/,idk,http://www.connectjournals.com/jim
Journal of Neonatal-Perinatal Medicine,http://www.iospress.nl/journal/journal-of-neonatal-perinatal-medicine/,idk,http://iospress.metapress.com/content/1934-5798/
Journal of Neutron Research,http://www.iospress.nl/journal/journal-of-neutron-research/,idk,http://iospress.metapress.com/content/1023-8166/
Journal of Parkinson’s Disease,http://www.iospress.nl/journal/journal-of-parkinsons-disease/,idk,http://iospress.metapress.com/content/1877-7171/
Journal of Pediatric Biochemistry,http://www.iospress.nl/journal/journal-of-pediatric-biochemistry/,idk,http://iospress.metapress.com/content/1879-5390/
Journal of Pediatric Epilepsy,http://www.iospress.nl/journal/journal-of-pediatric-epilepsy/,idk,http://iospress.metapress.com/content/2146-457X/
Journal of Pediatric Genetics,http://www.iospress.nl/journal/journal-of-pediatric-genetics/,idk,http://iospress.metapress.com/content/2146-4596/
Journal of Pediatric Infectious Diseases,http://www.iospress.nl/journal/journal-of-pediatric-infectious-diseases/,idk,http://iospress.metapress.com/content/1305-7707/
Journal of Pediatric Intensive Care,http://www.iospress.nl/journal/journal-of-pediatric-intensive-care/,idk,http://iospress.metapress.com/content/2146-4618/
Journal of Pediatric Neurology,http://www.iospress.nl/journal/journal-of-pediatric-neurology/,idk,http://iospress.metapress.com/content/1304-2580/
Journal of Pediatric Neuroradiology,http://www.iospress.nl/journal/journal-of-pediatric-neuroradiology/,idk,http://iospress.metapress.com/content/1309-6680/
Journal of Pediatric Rehabilitation Medicine,http://www.iospress.nl/journal/journal-of-pediatric-rehabilitation-medicine/,idk,http://iospress.metapress.com/content/1874-5393/
"Journal of Resources, Energy and Development",http://www.iospress.nl/journal/journal-of-resources-energy-and-development/,idk,http://bookstore.teriin.org/journal_inside.php?material_id=134
Journal of Statistics & Management Systems,http://www.iospress.nl/journal/journal-of-statistics-management-systems/,idk,http://www.connectjournals.com/jsms
Journal of the Indian Society of Soil Science,http://www.iospress.nl/journal/journal-of-the-indian-society-of-soil-science/,idk,http://www.isss-india.org/journal.html
Journal of Vestibular Research,http://www.iospress.nl/journal/journal-of-vestibular-research/,idk,http://iospress.metapress.com/content/0957-4271/
Journal of Vocational Rehabilitation,http://www.iospress.nl/journal/journal-of-vocational-rehabilitation/,idk,http://iospress.metapress.com/content/1052-2263/
Journal of X-Ray Science and Technology,http://www.iospress.nl/journal/journal-of-x-ray-science-and-technology/,idk,http://iospress.metapress.com/content/0895-3996/
"Journal on Satisfiability, Boolean Modeling and Computation",http://www.iospress.nl/journal/journal-on-satisfiability-boolean-modeling-and-computation/,idk,http://jsat.ewi.tudelft.nl
Main Group Chemistry,http://www.iospress.nl/journal/main-group-chemistry/,idk,http://iospress.metapress.com/content/1024-1221/
Medicinal Plants,http://www.iospress.nl/journal/medicinal-plants/,idk,http://www.indianjournals.com/ijor.aspx?target=ijor:mpijpri&type=home
Mobile Information Systems,http://www.iospress.nl/journal/mobile-information-systems/,idk,http://iospress.metapress.com/content/1574-017X/
Model Assisted Statistics and Applications,http://www.iospress.nl/journal/model-assisted-statistics-and-applications/,idk,http://iospress.metapress.com/content/1574-1699/
Multiagent and Grid Systems,http://www.iospress.nl/journal/multiagent-and-grid-systems/,idk,http://iospress.metapress.com/content/1574-1702/
NeuroRehabilitation,http://www.iospress.nl/journal/neurorehabilitation/,idk,http://iospress.metapress.com/content/1053-8135/
Nutrition and Aging,http://www.iospress.nl/journal/nutrition-and-aging/,idk,http://www.iospress.nl/subject/biochemistrymedicinehealth
Occupational Ergonomics,http://www.iospress.nl/journal/occupational-ergonomics/,idk,http://iospress.metapress.com/content/1359-9364/
Ovarian Diseases,http://www.iospress.nl/journal/ovarian-diseases/,idk,http://www.iospress.nl/subject/cancer
Pest Management in Horticultural Ecosystems,http://www.iospress.nl/journal/pest-management-in-horticultural-ecosystems/,idk,http://www.indianjournals.com/ijor.aspx?target=ijor:pmhe&type=home
Pharmaceuticals Policy and Law,http://www.iospress.nl/journal/pharmaceuticals-policy-and-law/,idk,http://iospress.metapress.com/content/1389-2827/
Pharmacotherapy,http://www.iospress.nl/journal/pharmacotherapy/,idk,http://www.pharmacotherapy.org
Restorative Neurology and Neuroscience,http://www.iospress.nl/journal/restorative-neurology-and-neuroscience/,idk,http://iospress.metapress.com/content/0922-6028/
Risk and Decision Analysis,http://www.iospress.nl/journal/risk-and-decision-analysis/,idk,http://iospress.metapress.com/content/1569-7371/
Scientific Programming,http://www.iospress.nl/journal/scientific-programming/,idk,http://iospress.metapress.com/content/1058-9244/
Semantic Web,http://www.iospress.nl/journal/semantic-web/,idk,http://iospress.metapress.com/content/1570-0844/
Shock and Vibration,http://www.iospress.nl/journal/shock-and-vibration/,idk,http://iospress.metapress.com/content/1070-9622/
Space Communications,http://www.iospress.nl/journal/space-communications/,idk,http://iospress.metapress.com/content/0924-8625/
Spectroscopy,http://www.iospress.nl/journal/spectroscopy/,idk,http://iospress.metapress.com/content/0712-4813/
Statistical Journal of the IAOS,http://www.iospress.nl/journal/statistical-journal-of-the-iaos/,idk,http://iospress.metapress.com/content/1874-7655/
"Strength, Fracture and Complexity",http://www.iospress.nl/journal/strength-fracture-and-complexity/,idk,http://iospress.metapress.com/content/1567-2069/
Technology and Disability,http://www.iospress.nl/journal/technology-and-disability/,idk,http://iospress.metapress.com/content/1055-4181/
Technology and Health Care,http://www.iospress.nl/journal/technology-and-health-care/,idk,http://iospress.metapress.com/content/0928-7329/
The International Journal of Risk & Safety in Medicine,http://www.iospress.nl/journal/the-international-journal-of-risk-safety-in-medicine/,idk,http://iospress.metapress.com/content/0924-6479/
TIDEE – TERI Information Digest on Energy and Environment,http://www.iospress.nl/journal/tidee-%e2%80%93-teri-information-digest-on-energy-and-environment/,idk,http://bookstore.teriin.org/journal_inside.php?material_id=260
Web Intelligence and Agent Systems,http://www.iospress.nl/journal/web-intelligence-and-agent-systems/,idk,http://iospress.metapress.com/content/1570-1263/
WORK,http://www.iospress.nl/journal/work/,idk,http://iospress.metapress.com/content/1051-9815/
World Digital Libraries,http://www.iospress.nl/journal/world-digital-libraries/,idk,http://bookstore.teriin.org/journal_inside.php?material_id=477&qty=1
Accounts of Chemical Research,http://pubs.acs.org/journal/achre4,http://feeds.feedburner.com/acs/achre4,http://pubs.acs.org/loi/achre4
ACS Applied Materials & Interfaces,http://pubs.acs.org/journal/aamick,http://feeds.feedburner.com/acs/aamick,http://pubs.acs.org/loi/aamick
ACS Catalysis,http://pubs.acs.org/journal/accacs,http://feeds.feedburner.com/acs/accacs,http://pubs.acs.org/loi/accacs
ACS Chemical Biology,http://pubs.acs.org/journal/acbcct,http://feeds.feedburner.com/acs/acbcct,http://pubs.acs.org/loi/acbcct
ACS Chemical Neuroscience,http://pubs.acs.org/journal/acncdm,http://feeds.feedburner.com/acs/acncdm,http://pubs.acs.org/loi/acncdm
ACS Combinatorial Science,http://pubs.acs.org/journal/acsccc,http://feeds.feedburner.com/acs/acsccc,http://pubs.acs.org/loi/acsccc
Journal of Combinatorial Chemistry,http://pubs.acs.org/journal/jcchff,http://feeds.feedburner.com/acs/jcchff,http://pubs.acs.org/loi/jcchff
ACS Macro Letters,http://pubs.acs.org/journal/amlccd,http://feeds.feedburner.com/acs/amlccd,http://pubs.acs.org/loi/amlccd
ACS Medicinal Chemistry Letters,http://pubs.acs.org/journal/amclct,http://feeds.feedburner.com/acs/amclct,http://pubs.acs.org/loi/amclct
ACS Nano,http://pubs.acs.org/journal/ancac3,http://feeds.feedburner.com/acs/ancac3,http://pubs.acs.org/loi/ancac3
ACS Symposium Series,http://pubs.acs.org/series/symposium,idk,idk
ACS Synthetic Biology,http://pubs.acs.org/journal/asbcd6,http://feeds.feedburner.com/acs/asbcd6,http://pubs.acs.org/loi/asbcd6
Advances in Chemistry,http://pubs.acs.org/series/advances,idk,idk
Analytical Chemistry,http://pubs.acs.org/journal/ancham,http://feeds.feedburner.com/acs/ancham,http://pubs.acs.org/loi/ancham
Industrial & Engineering Chemistry Analytical Edition,http://pubs.acs.org/journal/iecac0,http://feeds.feedburner.com/acs/iecac0,http://pubs.acs.org/loi/iecac0
Biochemistry,http://pubs.acs.org/journal/bichaw,http://feeds.feedburner.com/acs/bichaw,http://pubs.acs.org/loi/bichaw
Bioconjugate Chemistry,http://pubs.acs.org/journal/bcches,http://feeds.feedburner.com/acs/bcches,http://pubs.acs.org/loi/bcches
Biomacromolecules,http://pubs.acs.org/journal/bomaf6,http://feeds.feedburner.com/acs/bomaf6,http://pubs.acs.org/loi/bomaf6
Biotechnology Progress,http://pubs.acs.org/journal/bipret,http://feeds.feedburner.com/acs/bipret,http://pubs.acs.org/loi/bipret
Am. Inst. of Chem. Engineers,http://www.aiche.org,idk,idk
Chemical & Engineering News Archive Archives,http://pubs.acs.org/journal/cenear,http://feeds.feedburner.com/acs/cenear,http://pubs.acs.org/loi/cenear
